name,review_num,cat1,cat2,url
Alcatraz Island,55904,Historic Sites,Islands,https://www.tripadvisor.com/Attraction_Review-g60713-d102523-Reviews-Alcatraz_Island-San_Francisco_California.html
Golden Gate Bridge,49682,Historic Sites,Points of Interest & Landmarks,https://www.tripadvisor.com/Attraction_Review-g60713-d104675-Reviews-Golden_Gate_Bridge-San_Francisco_California.html
Cable Cars,25409,Trams,Nob Hill,https://www.tripadvisor.com/Attraction_Review-g60713-d104821-Reviews-Cable_Cars-San_Francisco_California.html
Pier 39,22850,Points of Interest & Landmarks,Piers & Boardwalks,https://www.tripadvisor.com/Attraction_Review-g60713-d102779-Reviews-Pier_39-San_Francisco_California.html
Lombard Street,18335,Points of Interest & Landmarks,Scenic Walking Areas,https://www.tripadvisor.com/Attraction_Review-g60713-d106232-Reviews-Lombard_Street-San_Francisco_California.html
Golden Gate Park,9598,Parks,Golden Gate Park,https://www.tripadvisor.com/Attraction_Review-g60713-d311684-Reviews-Golden_Gate_Park-San_Francisco_California.html
Oracle Park,7133,Arenas & Stadiums,South Beach,https://www.tripadvisor.com/Attraction_Review-g60713-d557330-Reviews-Oracle_Park-San_Francisco_California.html
Fisherman's Wharf,19549,Neighborhoods,Piers & Boardwalks,https://www.tripadvisor.com/Attraction_Review-g60713-d108678-Reviews-Fisherman_s_Wharf-San_Francisco_California.html
Exploratorium,3538,Speciality Museums,Science Museums,https://www.tripadvisor.com/Attraction_Review-g60713-d102775-Reviews-Exploratorium-San_Francisco_California.html
Twin Peaks,6414,Lookouts,Twin Peaks,https://www.tripadvisor.com/Attraction_Review-g60713-d105363-Reviews-Twin_Peaks-San_Francisco_California.html
Palace of Fine Arts Theatre,4470,Theaters,Marina District,https://www.tripadvisor.com/Attraction_Review-g60713-d104538-Reviews-Palace_of_Fine_Arts_Theatre-San_Francisco_California.html
Ferry Building Marketplace,7419,Points of Interest & Landmarks,Shopping Malls,https://www.tripadvisor.com/Attraction_Review-g60713-d103851-Reviews-Ferry_Building_Marketplace-San_Francisco_California.html
California Academy of Sciences,6003,Science Museums,Golden Gate Park,https://www.tripadvisor.com/Attraction_Review-g60713-d117078-Reviews-California_Academy_of_Sciences-San_Francisco_California.html
Lands End,2866,Hiking Trails,Richmond District,https://www.tripadvisor.com/Attraction_Review-g60713-d117409-Reviews-Lands_End-San_Francisco_California.html
Walt Disney Family Museum,2808,Speciality Museums,Presidio,https://www.tripadvisor.com/Attraction_Review-g60713-d1556974-Reviews-Walt_Disney_Family_Museum-San_Francisco_California.html
Musee Mecanique,2942,Speciality Museums,Fisherman’s Wharf,https://www.tripadvisor.com/Attraction_Review-g60713-d104542-Reviews-Musee_Mecanique-San_Francisco_California.html
Cable Car Museum,3751,Speciality Museums,Nob Hill,https://www.tripadvisor.com/Attraction_Review-g60713-d104939-Reviews-Cable_Car_Museum-San_Francisco_California.html
San Francisco Bay,7341,Bodies of Water,,https://www.tripadvisor.com/Attraction_Review-g60713-d106745-Reviews-San_Francisco_Bay-San_Francisco_California.html
Legion of Honor,2070,Art Museums,Lincoln Park,https://www.tripadvisor.com/Attraction_Review-g60713-d156333-Reviews-Legion_of_Honor-San_Francisco_California.html
Presidio of San Francisco,1890,Parks,Presidio,https://www.tripadvisor.com/Attraction_Review-g60713-d128930-Reviews-Presidio_of_San_Francisco-San_Francisco_California.html
Coit Tower,4543,Points of Interest & Landmarks,Architectural Buildings,https://www.tripadvisor.com/Attraction_Review-g60713-d104674-Reviews-Coit_Tower-San_Francisco_California.html
Anchor Brewing Company,524,Breweries,Potrero Hill,https://www.tripadvisor.com/Attraction_Review-g60713-d1009199-Reviews-Anchor_Brewing_Company-San_Francisco_California.html
San Francisco Museum of Modern Art (SFMOMA),2086,Art Museums,South Beach,https://www.tripadvisor.com/Attraction_Review-g60713-d105418-Reviews-San_Francisco_Museum_of_Modern_Art_SFMOMA-San_Francisco_California.html
Japanese Tea Garden,3345,Gardens,Golden Gate Park,https://www.tripadvisor.com/Attraction_Review-g60713-d142415-Reviews-Japanese_Tea_Garden-San_Francisco_California.html
Asian Art Museum,1544,Art Museums,Civic Center,https://www.tripadvisor.com/Attraction_Review-g60713-d103857-Reviews-Asian_Art_Museum-San_Francisco_California.html
San Francisco Botanical Garden,1020,Nature & Wildlife Areas,Gardens,https://www.tripadvisor.com/Attraction_Review-g60713-d104952-Reviews-San_Francisco_Botanical_Garden-San_Francisco_California.html
Chinatown,7090,Neighborhoods,Chinatown,https://www.tripadvisor.com/Attraction_Review-g60713-d108679-Reviews-Chinatown-San_Francisco_California.html
de Young Museum,2179,Speciality Museums,Golden Gate Park,https://www.tripadvisor.com/Attraction_Review-g60713-d127943-Reviews-De_Young_Museum-San_Francisco_California.html
Ghirardelli Square,3575,Points of Interest & Landmarks,Shopping Malls,https://www.tripadvisor.com/Attraction_Review-g60713-d104680-Reviews-Ghirardelli_Square-San_Francisco_California.html
Baker Beach,967,Beaches,Presidio,https://www.tripadvisor.com/Attraction_Review-g60713-d754023-Reviews-Baker_Beach-San_Francisco_California.html
