platform,attraction,review,rating,datecolumn,coordinates
TripAdvisor,Alcatraz Island,My family took the tour ( BUY TICKETS IN ADVANCE)! We have 2 small boys and an infant. It wasn't difficult at all to maneuver with our stroller and we made the trek with all children. The ferry is clean and peaceful with snack for purchase ( we purchased 4 hotdogs and drinks in advance). The boat bathroom is clean and appropriate for all needs. The island also has clean and appropriate facilities. There are steep hills but we are an active family so we didn't struggle with this. The audio tour was appropriate for all children and we enjoyed it as well. This was not only educational but also a lifelong memory made with our family! 110% recommend!,5.0,"Mar, 2023",
TripAdvisor,Alcatraz Island,This is a must stop if you are in San Fran!!! We did the audio tour and was very interesting!!! We were going to do ther night tour but didnt book far enough in advance!! Should book night tour a week in advance.,5.0,"Feb, 2023",
TripAdvisor,Alcatraz Island,I did not expect to enjoy the tour as much as I did. The recorded tour was very informational and done very well. I often do not listen to these type of tours as they are boring but this one held my attention. Definitely recommend this tour.,5.0,"Mar, 2023",
TripAdvisor,Alcatraz Island,San Francisco is completely unsafe. We bought tickets for Alcatraz. We drove around trying to find parking. Found a place. Gangs were patrolling the area. Windows were smashed out of cars. We were right in front of pier 33. We couldn’t even go on the tour because the thought of getting our window smashed and everything inside taken. I asked around. This is a common occurrence. No police anywhere. Mind you this is middle of daylight hours. Unbelievable that the city has been destroyed by crime. I would never return. I didn’t get a refund for our tickets.,1.0,"Mar, 2023",
TripAdvisor,Alcatraz Island,"I had a 13-hour layover in San Francisco And I wanted to do something with a lot of fresh air to keep me awake after a no-sleep flight from Asia. The Alcatraz tour filled that bill nicely. I was originally going to take a guided tour that cost $150, but they were all booked up. Glad I did not. This tour was a third the price. Given the excellent audio guide, the Park Rangers, and enthusiastic docents, there was no reason to pay for an additional guide. $50 is still kind of expensive, especially if you have children, but it does include the boat ride which was lovely.",4.0,"Mar, 2023",
TripAdvisor,Alcatraz Island,Beautiful place to visit. there are a lot of attractions for us to stay and visit. The structures are great.,5.0,"Feb, 2023",
TripAdvisor,Alcatraz Island,nice combo of SF ferry ride and Aclatraz tour. Be prepared for lots of uneven walking paths. Interesting tour,4.0,"Mar, 2023",
TripAdvisor,Alcatraz Island,"Kort båttur over til øya. Likte at det var mulig å handle mat på båten, men at det ikke var noe «kjøpepress». Tilsvarende også på selve Alcatraz - handlemuligheter uten at det var noe påtrengende salg.",4.0,"Mar, 2023",
TripAdvisor,Alcatraz Island,Being able to walk around at own time and pace to enjoy,5.0,"Feb, 2023",
TripAdvisor,Alcatraz Island,Many suprises.,5.0,"Mar, 2023",
TripAdvisor,Alcatraz Island,"This is a fantastic experience, and definitely a must for anyone visiting San Francisco, the audio tour is astonishing, and the island itself is fantastic, so much history, and told in such a good way.",5.0,"Jan, 2023",
TripAdvisor,Alcatraz Island,This was on my husbands wish list during our Californian road trip. We took the morning ferry across and it was relatively quiet which was nice.,1.0,"Sep, 2022",
TripAdvisor,Alcatraz Island,"Un gran viaje, conocer cada rincón de Alcatraz con todas esas historias vividas, el volar tu imaginación hace que todo sea increible",5.0,"Sep, 2022",
TripAdvisor,Alcatraz Island,The experience itself was amazing great audio tour. Programs after by staff were wonderful. A must do for anyone going to Sam Francisco,5.0,"Feb, 2023",
TripAdvisor,Alcatraz Island,My friends and I did the day-time tour of the island and it was FANTASTIC. There is so much history I wasn't aware of - you learn a lot. You can do as much guided/unguided as you want. I also didn't realize how beautiful the island is - the grounds are very well kept and the gardens are stunning. It's a GREAT spot for birdwatching - I had 3 lifers while on the island!,5.0,"Nov, 2022",
TripAdvisor,Alcatraz Island,"Loved the guided tour. Tour guide was very knowledgeable and explained a lot of history. Audio tour was good as well. Amazing, favorite tour in San Fran.",5.0,"Feb, 2023",
TripAdvisor,Alcatraz Island,We did the day self guided tour and had a great time. Plenty of stuff to see and the staff was very helpful. They have guided and self guided tours. We did both and learned a lot of information about alcatraz. It’s one of those things everyone has to do at least once when in Sf!,5.0,"Feb, 2023",
TripAdvisor,Alcatraz Island,Going see Alcatraz after seeing the movie. The history of it was like mind blowing. After hearing the actual stories from the inmates on recorded headphones. It's a lot of walking but worth it and the flowers were beautiful .,4.0,"Feb, 2023",
TripAdvisor,Alcatraz Island,Excellent experience. Very interesting audio guide featuring voices from guards and prisoners.,5.0,"Feb, 2023",
