attraction,username,contributions,time,review,rating
Adventure Playground,jackie,117,Dec 2022,"Wasn’t able to go in, however the structure is bigger than expected and it looked like a lot of fun. The free parking is a plus! There is a park next to the adventure playground and a grass are / small museum that you can go to as well if part of your party doesn’t want to climb on the structure.",4.0
Adventure Playground,Julia Gidwani,125,Feb 2023,"Keep an eye on your kids and let them go wild with 🔨🪚🎨 Rules: sign a waiver, find five rusty nails, or pieces of trash, and you can exchange it in for a tool or paint. You are allowed five nails at a time.  This place my only be open on …",5.0
Adventure Playground,Nathan Pierce,72,Feb 2023,"When I was a kid we somehow had wood around and built some amazing forts: underground forts, aboveground forts, 3-story forts, forts in the creek, and forts in the trees. Probably the older kids did most of the heavy labor. I remember …",5.0
Adventure Playground,Harry Jung,444,Jan 2023,"Great playground for age 5+. Kids can be explorer, sportsman, painters, pianist, carpenters. All kinds of fun activities are waiting!",4.0
Adventure Playground,V Tancredi,227,Dec 2022,Very creative and unique free play area at the Berkeley Marina. Free parking nearby as well as a conventional playground next door. …,5.0
Adventure Playground,A Maha,23,Nov 2022,Awesome play area however they do have fleas we were bit up all over. And some parents let their kids potty and expose themselves to other kids. Make sure u read the rules as well cuz some parents will get very upset if ur child …,3.0
Adventure Playground,Alyssa Tomfohrde,60,Mar 2021,"Adventure Playground is a classic place to play for Berkeley kids. Earn a hammer by cleaning up found nails. Then hammer away until you've made your own Lost Boys fortress. Beautiful beach front, marina location with great park and nature center. Watch the boats launch from a breezy picnic table.",5.0
Adventure Playground,Sakin Shrestha,60,Mar 2020,"Really awesome experience going to Adventure Playgroud with my 6 years old boy. He use magnetic tools to find the nails, use hammer and other tools, then also work on paints. There is also an amazing zip line and we were lucky as it was for …",5.0
Adventure Playground,Sunny Lee,150,Mar 2020,My kids' favorite place in Berkeley. They could spend good 3-4 hours easily here. They keep themselves very busy with building forts with boards and also hammering away. Great way to be creative with building materials. A little bit of …,5.0
Adventure Playground,Tina l,13,Mar 2019,"Went here with my siblings and I was amazed by how they actually created the place using junk yard materials, my only concern is that I saw many little kids walking around with giant sharp saws and cut pieces of block and hammering nails …",4.0
