attraction,username,city,country,contribution,title,month,year,review,rating
Alcatraz Island,Amber N W,None,None,5,FUN FOR ALL AGES,Mar,2023,My family took the tour ( BUY TICKETS IN ADVANCE)! We have 2 small boys and an infant. It wasn't difficult at all to maneuver with our stroller and we made the trek with all children. The ferry is clean and peaceful with snack for purchase ( we purchased 4 hotdogs and drinks in advance). The boat bathroom is clean and appropriate for all needs. The island also has clean and appropriate facilities. There are steep hills but we are an active family so we didn't struggle with this. The audio tour was appropriate for all children and we enjoyed it as well. This was not only educational but also a lifelong memory made with our family! 110% recommend!,5.0
Alcatraz Island,Gord P,None,None,16,great tour,Feb,2023,This is a must stop if you are in San Fran!!! We did the audio tour and was very interesting!!! We were going to do ther night tour but didnt book far enough in advance!! Should book night tour a week in advance.,5.0
Alcatraz Island,Jess,None,None,4,Must See,Mar,2023,I did not expect to enjoy the tour as much as I did. The recorded tour was very informational and done very well. I often do not listen to these type of tours as they are boring but this one held my attention. Definitely recommend this tour.,5.0
Alcatraz Island,Christine J,None,None,13,Unsafe area DO NOT GO!,Mar,2023,San Francisco is completely unsafe. We bought tickets for Alcatraz. We drove around trying to find parking. Found a place. Gangs were patrolling the area. Windows were smashed out of cars. We were right in front of pier 33. We couldn’t even go on the tour because the thought of getting our window smashed and everything inside taken. I asked around. This is a common occurrence. No police anywhere. Mind you this is middle of daylight hours. Unbelievable that the city has been destroyed by crime. I would never return. I didn’t get a refund for our tickets.,1.0
Alcatraz Island,Yankeehoya,Doha,Qatar25,8,No Additional Tour Guide Needed,Mar,2023,"I had a 13-hour layover in San Francisco And I wanted to do something with a lot of fresh air to keep me awake after a no-sleep flight from Asia. The Alcatraz tour filled that bill nicely. I was originally going to take a guided tour that cost $150, but they were all booked up. Glad I did not. This tour was a third the price. Given the excellent audio guide, the Park Rangers, and enthusiastic docents, there was no reason to pay for an additional guide. $50 is still kind of expensive, especially if you have children, but it does include the boat ride which was lovely.",4.0
Alcatraz Island,Klaxy M,Washington DC,DC,5,Nice structure,Feb,2023,Beautiful place to visit. there are a lot of attractions for us to stay and visit. The structures are great.,5.0
Alcatraz Island,LA traveler,None,None,3,night time tour,Mar,2023,nice combo of SF ferry ride and Aclatraz tour. Be prepared for lots of uneven walking paths. Interesting tour,4.0
Alcatraz Island,Sunniva R,Trondheim,Norway4,5,Verdt et besøk,Mar,2023,"Kort båttur over til øya. Likte at det var mulig å handle mat på båten, men at det ikke var noe «kjøpepress». Tilsvarende også på selve Alcatraz - handlemuligheter uten at det var noe påtrengende salg.",4.0
Alcatraz Island,Robynwhitehead,Brisbane,Australia4,1,Alcatraz,Feb,2023,Being able to walk around at own time and pace to enjoy,5.0
Alcatraz Island,Deaf_Leopard,Trondheim,Norway43,5,Worth every dollar,Mar,2023,Many suprises.,5.0
Alcatraz Island,Easel1973,Southampton,UK22,3,Stunning place to vist,Jan,2023,"This is a fantastic experience, and definitely a must for anyone visiting San Francisco, the audio tour is astonishing, and the island itself is fantastic, so much history, and told in such a good way.",5.0
Alcatraz Island,bluebell101,Hampshire,UK58,0,Awful - the smell & the flies ...,Sep,2022,This was on my husbands wish list during our Californian road trip. We took the morning ferry across and it was relatively quiet which was nice.,1.0
Alcatraz Island,Ana Montserrat R,Cabo San Lucas,Mexico3,4,Viaje de 28 aniversario,Sep,2022,"Un gran viaje, conocer cada rincón de Alcatraz con todas esas historias vividas, el volar tu imaginación hace que todo sea increible",5.0
Alcatraz Island,Debld,Winnipeg,Canada4,3,Great from beginning to end,Feb,2023,The experience itself was amazing great audio tour. Programs after by staff were wonderful. A must do for anyone going to Sam Francisco,5.0
Alcatraz Island,Schatze,Chicago,IL23,7,A Must-See while in SF,Nov,2022,My friends and I did the day-time tour of the island and it was FANTASTIC. There is so much history I wasn't aware of - you learn a lot. You can do as much guided/unguided as you want. I also didn't realize how beautiful the island is - the grounds are very well kept and the gardens are stunning. It's a GREAT spot for birdwatching - I had 3 lifers while on the island!,5.0
Alcatraz Island,K B,None,None,4,Awesome tour,Feb,2023,"Loved the guided tour. Tour guide was very knowledgeable and explained a lot of history. Audio tour was good as well. Amazing, favorite tour in San Fran.",5.0
Alcatraz Island,Bryan,Oklahoma City,OK1,9,One of the more interesting tours in the Bay Area.,Feb,2023,We did the day self guided tour and had a great time. Plenty of stuff to see and the staff was very helpful. They have guided and self guided tours. We did both and learned a lot of information about alcatraz. It’s one of those things everyone has to do at least once when in Sf!,5.0
Alcatraz Island,Michell Ford,Luling,LA,9,Seeing History,Feb,2023,Going see Alcatraz after seeing the movie. The history of it was like mind blowing. After hearing the actual stories from the inmates on recorded headphones. It's a lot of walking but worth it and the flowers were beautiful .,4.0
Alcatraz Island,mccclan,None,None,United Kingdom72,Excellent experience,Feb,2023,Excellent experience. Very interesting audio guide featuring voices from guards and prisoners.,5.0
Alcatraz Island,IrelandsIslandHopper,Dunboyne,Ireland8,9,Worth the hype!,Feb,2023,"We took the night tour which was a 10/10 experience. We left in time to see the sun set and felt like we had the island to ourselves (well, the 300 of us that came on the boat!). Hannah made the tour for us. So informative, professional, passionate and funny. She is a credit to the team in Alcatraz.",5.0
Alcatraz Island,MOM282013,Elkhart,IN1,2,Go or don’t,Feb,2023,"$50 is a little pricey for the self guided tour. You pay for the ferry ride and the recorded tour, but worth maybe $30 not &50. The room talking about change within our prison systems, I hope my booking supports some of that! Was worth the trip, we had a good time I just thought the price was a little much for the lack of doing on the human side of things. Could of gone with or without the tour, was something to do.",3.0
Alcatraz Island,Oliver Vilcans-Moody,London,UK5,9,Go at night !,Feb,2023,"It’s a pretty obvious thing to do when visiting San Francisco, however I listened to a friend who told me about the night tours - do it!",5.0
Alcatraz Island,Charles S W,None,None,New Jersey15,Prison to touristical experience,Feb,2023,"Alcatraz Island is a small island located in the San Francisco Bay, and it is one of the most popular tourist destinations in the city. Once the site of a maximum-security prison, it is now a popular attraction that offers visitors a glimpse into the island's rich history and natural beauty.",5.0
Alcatraz Island,pearx4,Stafford,VA62,8,Fabulous Alcatraz Experience,Feb,2023,"What a fun experience! Took the 10:15 Ferry from Pier 33. Ferry was well equipped with snacks, beverages, and restrooms. Ride was 15-20 minutes. Spectacular views of the island can be captures on the way. When disembarking, there is a Park Ranger giving short instructions then you are off to climb to the top of the rock! Pick up your audio tour and enjoy the history and fascination of this historical place. We learned a lot and thoroughly enjoyed walking all over the grounds. We were lucky to take in a FREE guided tour that allowed entry into areas otherwise blocked off. From the lighthouse, the San Francisco Cityscape is amazing. You can also take in both Golden Gate and Bay bridges. Don't miss seeing the lovely gardens and landscaping as well as the numerous species of nesting birds. The gift shop is reasonably priced and has pretty much any souvenir you might want. While the buildings may be old and hold many not so positive stories, Alcatraz Island is beautiful. Recommend planning to make this your only stop for the day, as to see and enjoy, you need 4-5 hours to take it all in. Can be done in a shorter amount of time but why rush. Note - only bottles of water are allowed on the island and large backpacks are not permitted. Cost was very well worth the price!",5.0
Alcatraz Island,ZCC,Fife,UK14,7,A must see whilst in San Francisco!,Feb,2023,Booked on the 9.45 ferry but arrived earlier than expected which turned out perfect timing as we were allowed to board the first ferry of the morning - which was nice and quiet. Great views of Alcatraz from the ferry and even better views from the island itself. The cell house audio tour is an absolute must. The only downside was some of the island was closed off.,5.0
Alcatraz Island,Lisa Kris,Richmond,Canada1,3,Alcatraz is a must see!,Feb,2023,Alcatraz has so much history within its walls. The audio tour through the cells was very informative.,5.0
Alcatraz Island,ScubamommaDevon,Barnstaple,UK73,3,"Arrived in fog, left in sunshine",Feb,2023,"We visited today taking the first ferry, we were glad we did this as the island was lovely and quiet for the first hour. Audio tour was exceptional and informative. Whilst we were inside the sun came out and we toured the outside.",5.0
Alcatraz Island,Natalie K,Willowbrook,IL3,3,Good history lesson,Feb,2023,"The ferry was fun and comfortable. The only downside is that a lot of the island is closed off but two hours gives you plenty of time to explore the prison, take the audio guided tour, see the gardens etc.",5.0
Alcatraz Island,Taylor P,Indianapolis,IN1,3,Bucket list must see!,Feb,2023,Such a fun tour! The audio tour was very informative and interesting. They shared many facts about the jail but also the island and its history as well. The boat ride was beautiful and gave a great view of SF and the bridges as well. Definitely recommend this.,5.0
Alcatraz Island,Devin D,None,None,11,Fun day on the island,Jan,2023,"We had an amazing time, the weather was great, the tour was fun. Also several parts of the island not always open were for our visit.",5.0
Alcatraz Island,Joyce H,None,None,8,Alcatraz Island,Jan,2023,"We enjoyed our visit to Alcatraz. We liked the idea of taking the ferry over and being able to spend as much time as we needed to see the facility in its entireness, The staff was very informative with the history of Alcatraz.We know it's touristy area but one should take the opportunity and educate oneself to the system and what went on.",5.0
Alcatraz Island,BarryandJackie,None,None,"Berkeley, CA1,053",Very pleasant and interesting,Feb,2023,"Generally well-organized and pleasant boat ride to and from the island. Self-guided tour of the cell block is the highlight, but also found the imprisonment exhibit quite informative.",4.0
Alcatraz Island,Clarke N,None,None,2,respectful and educational experience,Jan,2023,"I was a bit nervous about going since something didn't really sit right with me about a jail that is now tourist destination. However, I found that everything was REALLY well done. The tour noted the hardships of being in jail without glorifying them and there was even an exhibit about how incarnation effects modern society. Definitely give yourself the time to walk around and explore the whole island as there were details and additional information that I would have missed if I just did the tour and then hopped back on the ferry.",5.0
Alcatraz Island,1970gracec,None,None,59,Alcatraz trip,Jul,2022,It was fun & nice trip. We really enjoyed .The weather was so nice that time . Having fun sailing . Educational,5.0
Alcatraz Island,Aaron Shelby,Abu Dhabi,United Arab Emirates10,4,A Dynamic Trip,Jul,2022,"My friends and I took the first ferry of the morning to reach Alcatraz Island and it was worth it. We cruised through the legendary SF fog to reach the island and when we arrived we were greeted with the remnants of the Indigenous people's occupation of the island. I am glad that the NPS did not try to brush over this part of the history of the island and people of the country. The island is sizable and accessible by foot. Make sure to pack warm clothes because it is quite cool and windy there. The prison itself has a guided audio tour with various stop points throughout the building to get a sense of the history of the people and location. Additionally, there was a fascinating exhibit about the occupation in an industrial building on the north side of the island. I learned a lot about the occupation through the images and words shared by the people who were there. Alcatraz is easily a half-day experience. Make sure to book your tickets ahead of time in order to have the experience you want. It is definitely a visit you should make if you're in the bay area.",5.0
Alcatraz Island,Compatible,Melbourne,Australia3,0,Alcatraz Island,Feb,2023,"There are food and snacks on the ferry to Alcatraz Island and when you get on the pier, there is a building with a easy map of the island. The main cell house has 2 main buildings. There are three levels, and the third level is off limits. There are labels and signs talking about the history and mishaps of Alcatraz. Some cells even have fake dummies in it and some that you can go in. There are also 6 other buildings, some of which you can’t go in.",5.0
Alcatraz Island,Cloud,Frankfurt,Germany51,1,Iconic jail island,Jan,2023,"Iconic jail island. You really cannot miss this one when a passionate fan of old stories. The island can be visited via several boat tours, or seen from the Golden Gate and even better from a pier, eg pier 39.",5.0
Alcatraz Island,dirklunacy,None,None,198856164,Kann man machen,Jan,2023,"Naja kann man sicher machen, wenn man schon in SF ist. Aber ein bis zwei Stunden reichen dann auch für den Ausflug.",4.0
Alcatraz Island,Bahadır Can Gokcel,Istanbul,Türkiye,5,Iconic Prison,Nov,2022,"I booked a self-guided island tour. There was not too much line to go to the island when arriving at the pier however the island was very crowded. I have always been curious about this iconic Island, and this prison was just unbelievable. Cells were too small and crazy there was no privacy for prisoners.",5.0
Alcatraz Island,Matías,Buenos Aires,Argentina25,9,Lo mejor de San Francisco,Jan,2023,"Excelente experiencia. Tuve la suerte que al momento de llegar un voluntario daba una charla de 45 minutos sobre la historia secreta, básicamente detalles sobre la historia y la vida en la isla que no están contadas. Además, estaban abierto tanto parte del jardín de flores como el sendero del famoso cartel amarillo de advertencia, que no siempre están abierto. También pude visitar la muestra sobre la toma por parte de nativos. 4 horas espectaculares.",5.0
